name,free_returns,items_sold,status,shipping,price
Sunkist Fruit Gems - Gourmet Gummy Candy - FRESH - 1/2 LB BAG - WRAPPED,False,39,Brand New,0,1112
GOURMET CHOCOLATE MALT Salt Water Taffy Candy TAFFY TOWN 1/4LB to 10LB BAG,False,,Brand New,0,804
🇺🇦 Jelly Belly Beans 49 Fresh Gourmet Flavors Kirkland 64 oz (4Lb) Jar 11/2023,True,,Brand New,0,3399
" Dubble Bubble Assorted 1"" / 24mm  Gumballs 3 Lbs  Free Shipping Always Fresh *",True,1756,Brand New,0,1799
"Tootsie Roll Fruit Chews Assorted Fruit Flavors, 14.37 Oz",False,,Brand New,0,420
"Mamba Fruit Chews, Bulk Pack Candy, 18 Piece - 2.8 oz. Bars (24 Pack)",False,42,Brand New,1438,1499
Hi-Chew Japanese Chewy Fruit Candy - Assorted Flavors; 30oz Bulk Package,True,,Brand New,0,1900
Over 40 ASSORTED FLAVORS Gourmet Jelly Beans 1/4 LB to 10 LB Bags - FRESH,False,315,Brand New,500,869
"Japanese Kasugai Gummy Candy - Peach Gummy Flavor ""Free Shiping""",False,,Brand New,0,599
Coconut Bon Bons - Pick a Size - Free Expedited Shipping!!,False,,Brand New,0,1699
Mini FRIED EGGS Gummy Candy 1/2 LB Bag - BULK - Fresh & Tasty - FREE SHIPPING,False,57,Brand New,0,1337
2 Jars Skittles Original Fruity Candy Jar Bite Size Candies 54 oz Each Jar,False,,Brand New,0,3580
GOURMET MANGO Salt Water Taffy Candy TAFFY TOWN 1/4 LB  to 10 LB BAG,False,,Brand New,0,804
GOURMET BLUEBERRY Salt Water Taffy Candy TAFFY TOWN 1/4 LB  to 10 LB BAG,False,,Brand New,0,800
Airheads Candy Bars Variety Haloween Bulk Box Chewy Ful Size Fruit Fast Delivery,False,,Brand New,0,1575
Snack Hut Sour Candy Box Variety Pack Care Package for Kids Teens Adults,False,,Brand New,0,2799
GOURMET CHERRY COLA Salt Water Taffy Candy TAFFY TOWN 1/4 LB  to 10 LB BAG,False,,Brand New,0,804
Skittles Giants,False,,Brand New,610,600
"Gimbal's, Sour Pucker-up Gummy Lips Candy -1/4LB to 10LBS - FREE SHIPPING",False,,Brand New,0,1100
"Eye Candy Ultra-Bright Full-Page Magnifier, As Seen On TV, Magnifies Up to 3X",True,367,Brand New,0,2499
